Bateau,Acheteur,poidsmontant,poidsqte,poidprix
265354,610,99,22,4.5
268442,7,19.6,7,2.8
268442,32,495,55,9
268442,77,61.5,17.5,3.5142857143
268442,86,968,113,8.5663716814
268442,157,167.15,30.3,5.5165016502
268442,163,446.5,47,9.5
268442,347,398.75,40.5,9.8456790123
268442,367,264,22,12
268442,526,670.7,107.5,6.2390697674
268442,528,399.4,70,5.7057142857
268442,534,365,40,9.125
268442,543,2145.4,265.8,8.0714823175
268442,552,239.6,27,8.8740740741
268442,566,544,64,8.5
268442,597,948.5,107,8.8644859813
268442,610,50,25,2
275265,86,318,36.5,8.7123287671
275265,273,275,27.5,10
275265,392,409.5,49.5,8.2727272727
275265,526,1651.55,192,8.6018229167
275265,543,295.5,83,3.5602409639
275265,552,192,24,8
275265,558,1028.8,415.3,2.4772453648
275265,597,767,74,10.364864865
322866,12,2385,285,8.3684210526
322866,15,2.6,2,1.3
322866,30,832,104,8
322866,32,3085,363,8.4986225895
322866,86,9.45,21,0.45
322866,163,468,36,13
322866,296,906.5,205,4.4219512195
322866,321,386,112,3.4464285714
322866,325,381,46,8.2826086957
322866,344,2459.8,251,9.8
322866,367,1712.8,169,10.134911243
322866,368,252,28,9
322866,382,294,30,9.8
322866,386,285.2,62,4.6
322866,526,3955.25,596.6,6.6296513577
322866,534,1176,120,9.8
322866,538,410,41,10
322866,542,14.4,8,1.8
322866,543,1994.8,359,5.556545961
322866,545,94.3,42,2.2452380952
322866,548,25.2,4.2,6
322866,558,886,112,7.9107142857
322866,580,14.2,9,1.5777777778
322866,592,806,76,10.605263158
322866,597,7285.3,955.5,7.6245944532
322866,602,30.4,8,3.8
322866,610,13.5,18,0.75
322866,613,6.4,8,0.8
333363,15,19.5,15,1.3
333363,32,161.7,49,3.3
333363,77,79.5,34,2.3382352941
333363,86,248,75,3.3066666667
333363,273,179.2,64,2.8
333363,296,22.2,74,0.3
333363,321,62.7,5.7,11
333363,367,110.25,10.5,10.5
333363,375,337.36,74,4.5589189189
333363,526,3290.75,530.4,6.2042797888
333363,534,15.4,7,2.2
333363,538,400,32,12.5
333363,543,98.81,106.7,0.926054358
333363,545,21.6,2.7,8
333363,549,220,22,10
333363,554,16,8,2
333363,558,18.3,3,6.1
333363,566,6,3,2
333363,580,96,12,8
333363,586,18,9,2
333363,597,370.5,36,10.291666667
333363,602,73.45,11.3,6.5
333363,604,102,12,8.5
333363,613,60,20,3
384579,2,225,50,4.5
384579,273,34,17,2
384579,321,368,50.5,7.2871287129
384579,325,643,66,9.7424242424
384579,375,302.4,108,2.8
384579,502,50.4,18,2.8
384579,526,6938,783.5,8.8551372049
384579,534,18,18,1
384579,543,99.2,70,1.4171428571
384579,545,102.3,62,1.65
384579,549,1230,116,10.603448276
384579,558,743.7,122,6.0959016393
384579,580,92,23,4
384579,586,36.3,22,1.65
385115,2,1952.9,326.8,5.9758261934
385115,7,109.8,61,1.8
385115,12,535.5,51,10.5
385115,15,100.8,56,1.8
385115,32,317.2,106,2.9924528302
385115,77,314.5,37,8.5
385115,86,51.17,17,3.01
385115,138,2419.9,281,8.6117437722
385115,163,2879.05,462,6.2317099567
385115,273,98.6,58,1.7
385115,296,810.8,119,6.8134453782
385115,344,610.2,50,12.204
385115,508,598,52,11.5
385115,526,2032,177,11.480225989
385115,543,3324.55,2227,1.4928378985
385115,551,571,140.7,4.0582800284
385115,552,864.35,301,2.8715946844
385115,558,1280.4,194,6.6
385115,583,227.3,35.9,6.3314763231
385115,586,33,22,1.5
385115,592,112.5,15,7.5
385115,597,6409.3,661,9.6963691377
387200,12,513.5,53,9.6886792453
387200,32,1175.6,118,9.9627118644
387200,77,22.8,3.8,6
387200,86,594,52,11.423076923
387200,163,751,65,11.553846154
387200,296,1007.5,103.5,9.7342995169
387200,321,218.5,23,9.5
387200,325,839,88,9.5340909091
387200,344,488,61,8
387200,347,1663,189,8.7989417989
387200,367,640.5,70,9.15
387200,506,1801,205,8.7853658537
387200,508,25,5,5
387200,526,7667.8,852.1,8.9987090717
387200,534,869,107,8.1214953271
387200,538,444,37,12
387200,543,2707.45,323,8.3821981424
387200,545,56.6,42,1.3476190476
387200,548,6.6,1.1,6
387200,549,210,20,10.5
387200,552,256,32,8
387200,554,51,3,17
387200,558,14,2,7
387200,566,2753.5,322,8.551242236
387200,592,1223.5,127,9.6338582677
387200,597,4051.8,364,11.131318681
387200,610,18,4,4.5
407043,526,268,29.5,9.0847457627
407043,543,30.4,19,1.6
407043,597,490,45,10.888888889
416348,32,534.9,236,2.2665254237
416348,296,72.5,29,2.5
416348,543,547.25,474,1.154535865
416348,552,68.6,42,1.6333333333
422436,32,354.6,197,1.8
422436,273,255.6,142,1.8
422436,296,80,10,8
